values	weights
Anita	2
Annabelle	2
Anneliese	2
Anni	2
Annika	2
Augusta	2
Augustine	2
Aurora	2
Barbara	2
Carla	2
Carola	2
Caroline	2
Claudia	2
Daria	2
Eda	2
Ela	2
Elaine	2
Eleni	2
Elfie	2
Elin	2
Elizabeth	2
Elli	2
Emilie	2
Emily	2
Erika	2
Esther	2
Eva	2
Finja	2
Friederike	2
Hedi	2
Helen	2
Hope	2
Isabell	2
Jara	2
Jean	2
Jennifer	2
Joleen	2
Jolie	2
Josefine	2
Judith	2
Julia	2
Karin	2
Karla	2
Krasimirova	2
Lavinia	2
Lena	2
Leni	2
Leoni	2
Letizia	2
Lia	2
Lila	2
Lilith	2
Lilli	2
Lilou	2
Lisbeth	2
Liselotte	2
Liva	2
Luca	2
Magdalena	2
Malaika	2
Malika	2
Malin	2
Malina	2
Malou	2
Margareta	2
Margarete	2
Marina	2
Marisa	2
Marleen	2
May	2
Melek	2
Melody	2
Meta	2
Mimi	2
Mina	2
Miriam	2
Monika	2
Naima	2
Nala	2
Nil	2
Noelle	2
Nora	2
Paloma	2
Philippa	2
Quinn	2
Romy	2
Rosalia	2
Rosemarie	2
Ruth	2
SalomĂe	2
Sara	2
Selma	2
Sibel	2
Sienna	2
Silvia	2
Sofi	2
Thea	2
Theresa	2
Veronica	2
VolodimirĂ¬vna	2
Wanda	2
Yael	2
Yasmin	2
Yuna	2
ZĂĽbeyde	2
Aurelia	2
Christine	2
Cornelia	2
Diana	2
Emilia	2
Gabriela	2
Helene	2
Hertha	2
Magdalena	2
Sophia	2
Teresa	2
Aaleyah	1
Aanya	1
Aarovi	1
Aashvi	1
Abena	1
Abigail	1
Adela	1
Aden	1
Adheera	1
Adina	1
Admira	1
Adna	1
Adriana	1
Adrianna	1
Aenna	1
Aglaia	1
Agnes	1
Ahana	1
Ai	1
Aicha	1
Aida	1
Aila	1
Aili	1
Ailin	1
AimĂee	1
Aino	1
Alaara	1
Alan-Siyah	1
Alara	1
Alaya	1
Alba	1
Albertine	1
Alea	1
Aleja	1
Alena	1
Alencia	1
Alenia	1
Alenya	1
Alesja	1
Aleya	1
Alia	1
Alisha	1
Alissa	1
Alissar	1
AlizĂee	1
Allegra	1
Almeria	1
Alona	1
Alyah	1
AlÄ«ma	1
Amali	1
Amar	1
Ameera	1
Amelia-Rozalia	1
Amelian	1
Amellya	1
Amila	1
Amilia	1
Amna	1
Amy	1
Ana	1
Anabell	1
Anaya	1
AnaĂ­s	1
Andjelija	1
Andreea	1
Andriana	1
Andrija	1
Andrijana	1
Aneesha	1
Anelia	1
Angelika	1
AngĂ¨le	1
Anika	1
Anita	1
Anna-Karlotta	1
Annabel	1
Annabella	1
Annalina	1
Anne-Camille	1
Anne	1
Anneliese	1
Annie	1
Anthea	1
Antonella	1
Aranja	1
Areej	1
Ariadni	1
Arianna	1
Ariel	1
Arielle	1
Arij	1
Arlina	1
Artemis	1
Aryen	1
Arza	1
Asena	1
Asenat	1
Ashvitha	1
Asiya	1
Asmera	1
Assil	1
Astrid	1
Athena	1
Atikah	1
Auguste	1
AurĂelie	1
Avaline	1
Avara	1
Avelina	1
Aviva	1
Awa-Djamila	1
Awin	1
Ayana	1
Ayliz	1
Ayun	1
AĂ§elya	1
Ba	1
Bahar	1
Batul	1
Bayan	1
Bella	1
Bente	1
Beren	1
Berit	1
Beyza	1
Bibi	1
Billie	1
Binah	1
Bree	1
Brooke-Diamond	1
Bruna	1
Caily	1
Calla	1
Camina	1
Carla-Helene	1
Carolin	1
Caroline	1
Cecilie	1
Celestina	1
Celia	1
Celin	1
Celina	1
Chanel	1
Chantall	1
Cheyenne	1
Chloe	1
Christel	1
ClĂementine	1
Cora	1
Cosima	1
Cosma	1
Cyrine	1
Daliah	1
Dalija	1
Dalin	1
Dalit-Sarah	1
Danaila	1
Danica	1
Daniela	1
Daniella-Enisa	1
Dariana	1
Davida	1
Dedrica	1
Delnia	1
Denisa	1
Deniz	1
Destiny	1
Dilayla	1
Dorli	1
Dua	1
Ecrin	1
Edibe	1
Edith	1
Efsun	1
EhlĂ˘-Mavi	1
Elanur	1
ElaĂŻa	1
Elda	1
Eleana	1
Eleanor	1
Eleanore	1
Eleni	1
Eleonora	1
Eleonore	1
Elham	1
Elikya	1
Elin	1
Eline	1
Elini	1
Elis	1
Elisana	1
Elisavet	1
Elissa	1
Eliya	1
Eliza	1
Elodie	1
EloĂŻse	1
Elsa	1
Elsbeth	1
Elvin	1
Ema	1
Emeljana	1
Emili	1
Emilie	1
Emmy	1
Emna	1
Enissa-Mathilda	1
Enna	1
Eowyn	1
Erva	1
Esilay	1
Eslem	1
Esme	1
Esra	1
Estela	1
Ester	1
Esti	1
Evangelina	1
Evelyna-Aurelia	1
Evi	1
Ewen	1
EylĂĽl	1
Ezgi	1
Fanni	1
Fatma	1
Felia	1
Feline	1
Felipa	1
Femke	1
Fera	1
Fiadh	1
Fidelia	1
Fielia	1
Fikreta	1
Filippa	1
Fira	1
Fjala	1
Fjella	1
Flora-Augustine	1
Florence	1
Florentina	1
Floria	1
Franka	1
Franziska	1
Frea	1
Freda	1
Freja	1
Friederike	1
Gabriele	1
Gabriella	1
Gaja	1
Gemma	1
Gerda	1
Gharam	1
Gianna	1
Gigi	1
Giorgia	1
Giuliana	1
Giustina	1
Gladys	1
Gloria	1
Greta	1
GĂ¶nĂĽl	1
Hafsa	1
Hamza	1
Hanja	1
Hareer	1
Harisa	1
Hava	1
Havin-Helen	1
Hayat	1
Haylen	1
Hayul	1
Hedi	1
Hedy	1
Helena-Sophia	1
Hellen	1
Helvi	1
Henni	1
Henrieke	1
Henrika	1
Hermine	1
Hilde	1
Hille	1
Hima	1
Hitomi	1
Hivda-Narin	1
Hollie	1
Holly	1
Hope	1
HĂĽma	1
Iana	1
Ibnat	1
Idara	1
Ilarya	1
Iliana	1
Illariy	1
Ilma	1
Ilse	1
Ilva	1
Ily	1
Ima	1
Imani	1
Imi	1
Ina	1
Inci	1
Ines	1
Iochebed-Sefora	1
Irem	1
Irma	1
Isabel	1
Isabell	1
Ivanka	1
Ivayla	1
Iyana	1
Izabela	1
Ä°layda	1
Jaane	1
Jade	1
Jael	1
Jale	1
