values	weights
 Hartung	6522
 Herold	6512
 Wiegand	6504
 Brenner	6490
 Vollmer	6486
 Rothe	6450
 Reichel	6446
 Rauch	6429
 Rausch	6427
 Wetzel	6420
 Hummel	6418
 Heinemann	6388
 Krauß	6380
 Knoll	6368
 Kroll	6345
 Christ	6344
 Wild	6294
 Reiter	6291
 Wegener	6272
 Strobel	6270
 Baur	6264
 Schade	6259
 Diehl	6253
 Schüler	6243
 Beer	6241
 Glaser	6225
 Hohmann	6221
 Merz	6215
 Feldmann	6210
 Behrendt	6184
 Rupp	6170
 Mayr	6157
 Neubert	6144
 Jacobs	6144
 Straub	6100
 Haag	6100
 Schütte	6067
 Meister	6040
 Stock	6026
 Betz	6013
 Dörr	6009
 Kessler	6002
 Mai	5988
 Seiler	5978
 Weise	5958
 Altmann	5958
 Weis	5940
 Freund	5939
 Geißler	5934
 Römer	5918
 Wunderlich	5916
 Metz	5905
 Voss	5881
 Busse	5851
 Bittner	5845
 Hagen	5818
 Heck	5807
 Falk	5778
 Sonntag	5770
 Moritz	5767
 Gerber	5755
 Hartwig	5753
 Merkel	5746
 Hentschel	5740
 Völker	5738
 Lauer	5736
 Born	5723
 Ehlers	5723
 Gross	5717
 Raab	5716
 Rapp	5686
 Jürgens	5683
 Zeller	5666
 Albers	5663
 Block	5654
 Bertram	5645
 Wulf	5633
 Eichhorn	5623
 Eder	5621
 Pietsch	5617
 Scharf	5595
 Bär	5568
 Giese	5560
 Opitz	5549
 Benz	5536
 Kellner	5532
 Gottschalk	5531
 Schweizer	5509
 Keßler	5498
 Eberhardt	5496
 Steffens	5484
 Wieland	5481
 Schütze	5473
 Bühler	5457
 Heuer	5447
 Hiller	5446
 Buck	5446
 Pape	5443
 Scheffler	5446
 Greiner	5430
 Engelmann	5422
 Weidner	5415
 Weigel	5405
 Neuhaus	5399
 Stumpf	5387
 Heil	5383
 Runge	5380
 Seeger	5378
 Kretschmer	5374
 Wiesner	5370
 Geisler	5357
 Oswald	5350
 Radtke	5346
 Appel	5342
 Hempel	5338
 Wichmann	5337
 Schott	5328
 Reimer	5320
 Gabriel	5307
 Heim	5295
 Dorn	5267
 Hinrichs	5266
 Timm	5250
 Moll	5240
 Steinbach	5232
 Geyer	5229
 Heise	5223
 Springer	5215
 Hensel	5211
 Neugebauer	5208
 Klemm	5203
 Forster	5191
 Hecht	5191
 Engels	5175
 Eichler	5173
 Winkelmann	5167
 Barthel	5154
 Brüggemann	5139
 Mack	5129
 Gebauer	5127
 Noll	5103
 Fleischmann	5090
 Michels	5089
 Schuler	5076
 Siegel	5047
 Seidl	5033
 Zahn	5025
 Schaller	5013
 Bürger	5011
 Singer	5009
 Otte	5008
 Lechner	5005
 Brandl	4989
 Pfaff	4973
 Schnell	4959
 Rother	4955
 Auer	4945
 Brauer	4943
 Ruf	4936
 Scholl	4933
 Junker	4932
 Uhlig	4923
 Drescher	4904
 Specht	4890
 Hagemann	4890
 Schürmann	4887
 Börner	4886
 Eggert	4882
 Kohler	4882
 Weller	4881
 Dick	4879
 Sievers	4877
 Finke	4847
 Faber	4840
 Frenzel	4833
 Kranz	4827
 Stolz	4824
 Kühl	4821
 Dreyer	4813
 Lux	4804
 Rabe	4801
 Schnabel	4801
 Elsner	4797
 Baumgartner	4787
 Walz	4785
 Gerhardt	4784
 Sauter	4783
 Prinz	4782
 Schirmer	4773
 Petzold	4765
 Maas	4758
 Geier	4747
 Hausmann	4730
 Reichelt	4731
 Langner	4728
 Wittig	4725
 Bremer	4722
 Klotz	4712
 Kasper	4704
 Schick	4703
 Dittmann	4699
 Haller	4692
 Maaß	4683
 Harder	4674
 Mielke	4669
 Wirtz	4662
 Cordes	4661
 Volk	4661
 Knapp	4660
 Riedl	4655
 Kahl	4650
 Biermann	4628
 Michaelis	4604
 Fries	4592
 Rösch	4586
 Kempf	4583
 Rath	4578
 Schaefer	4574
 Gerdes	4575
 Yilmaz	4564
 Schütt	4563
 Faust	4561
 Eggers	4559
 Pütz	4542
 Abel	4539
 Jensen	4533
 Thieme	4530
 Große	4521
 Kilian	4521
 Hauck	4520
 Sattler	4518
 Ullmann	4483
 Haug	4460
 Thoma	4458
 Wehner	4457
 Bohn	4456
 Melzer	4456
 Paulus	4451
 Koller	4436
 Dürr	4431
 Matthes	4421
 Horstmann	4412
 Korn	4408
 Fritzsche	4395
 Bernhard	4393
 Reinhold	4393
 Eberle	4389
 Evers	4389
 Kemper	4376
 Endres	4376
 Klinger	4375
 Junge	4375
 Helbig	4365
 Heitmann	4363
 Knorr	4357
 Rademacher	4355
 Schober	4351
 Drews	4347
 Höhne	4332
 Eckhardt	4325
 Leonhardt	4321
 Rost	4320
 Hellwig	4315
 Ehrhardt	4315
 Schaaf	4313
 Lippert	4304
 Höfer	4298
 Groth	4296
 Heinrichs	4294
 Hecker	4291
 Hering	4286
 Bahr	4287
 Stöhr	4280
 Lück	4266
 Rudolf	4259
 Behr	4235
 Blume	4232
 Hellmann	4230
 Steinmetz	4220
 Jahnke	4218
 Claus	4215
 Janke	4214
 Heimann	4214
 Sieber	4213
 Klug	4210
 Weiler	4207
 Pilz	4203
 Uhl	4199
 Kurth	4192
 Hildebrand	4190
 Dreher	4185
 Trautmann	4166
 Damm	4161
 Nitsche	4158
 Borchert	4157
 Augustin	4156
 Götze	4150
 Strauch	4148
 Lau	4145
 Just	4143
 Ries	4137
 Sperling	4135
 Schlosser	4132
 Schönfeld	4127
 Theis	4116
 Höhn	4110
 Stenzel	4106
 Hertel	4104
 Kunkel	4102
 Böhmer	4096
 Pohlmann	4073
 Sprenger	4066
 Heilmann	4058
 Gehrke	4057
 Thomsen	4048
 Teichmann	4040
 Kaminski	4041
 Schroeder	4038
 Wille	4036
 Schwarze	4033
 Huth	4022
 Balzer	4014
 Wacker	3999
 Wessel	3995
 Liedtke	3994
 Vogler	3976
 Brockmann	3959
 Westermann	3958
 Lehner	3951
 Starke	3943
 Kirchhoff	3933
 Reinhard	3928
 Engler	3926
 Nguyen	3917
 Grote	3910
 Renz	3905
 Hoyer	3897
 Hartl	3895
 Lotz	3895
 Friedrichs	3894
