values	weights
Lucian	2
Luciano	2
Lunis	2
Lyo	2
Mael	2
Maksim	2
Malek	2
Marlo	2
Martin	2
Matei	2
Matthew	2
Matts	2
Mauro	2
Maxime	2
Mohammed	2
Mostafa	2
Muhammed	2
Myles	2
Mylo	2
Nathan	2
Navid	2
NicolĂˇs	2
Nils	2
NoĂe	2
Otto	2
Philip	2
Quentin	2
Rasmus	2
Rayan	2
Rocco	2
Rubin	2
Salim	2
Sebastian	2
Taim	2
Talal	2
Tamo	2
Taylan	2
Thore	2
Timur	2
Titus	2
Tommy	2
Tristan	2
Yakub	2
Yannis	2
Yaron	2
Yunus	2
Yussef	2
Ă‰mile	2
Albert	2
Albrecht	2
Aleksander	2
Alois	2
Amari	2
Amir	2
Andreas	2
AndrĂe	2
Anthony	2
Arnold	2
Aslan	2
Avan	2
Beat	2
Bence	2
Bennet	2
Brian	2
Carsten	2
Casimir	2
Casper	2
Charlie	2
Christoph	2
Christopher	2
Conrad	2
Deniz	2
Edgar	2
Eduard	2
Edward	2
Elliott	2
Emanuel	2
Enno	2
Enrique	2
Erik	2
Fabian	2
Fitz	2
Francesco	2
Frank	2
Fridolin	2
Gustav	2
Hermann	2
Hubert	2
Hugo	2
Ilyas	2
Ioan	2
Isa	2
Ivo	2
Janosch	2
Jay	2
Jonah	2
Jordan	2
Joris	2
Joshua	2
Julian	2
Kaan	2
Kaleo	2
Kemal	2
Kurt	2
Lasse	2
Leonardo	2
Lio	2
Loui	2
Louie	2
Lucas	2
Magnus	2
Marcel	2
Marcus	2
Marian	2
Mattheo	2
Maxim	2
Mehmet	2
Mert	2
Miguel	2
Milo	2
Mio	2
Mohamed	2
Moritz	2
Naim	2
Nepomuk	2
Nikolas	2
Nils	2
Noel	2
Otis	2
Pablo	2
Phileas	2
Rasmus	2
Rio	2
River	2
Salem	2
Selim	2
Silas	2
Tiam	2
Timo	2
Tobias	2
Tom	2
Tristan	2
Uwe	2
Valerian	2
Veli	2
VolodimiroviÄŤ	2
Willi	2
Wolf	2
Wolfgang	2
Xaver	2
Ahmed	2
Alexander	2
August	2
Bronco	2
Christian	2
Elias	2
Felix	2
Georg	2
Hans	2
Jakob	2
Johann	2
Johannes	2
Kurt	2
Louis	2
Luca	2
Minh	2
Mohamed	2
Philipp	2
Salomon	2
Peter	2
Ferdinand	2
Abaan	1
Abbass	1
Abdourahmane	1
Abdul-Mohaimen	1
Abdulrahman	1
Abramo	1
Aday	1
Adeem	1
Adeen	1
Adin	1
Adithiyan	1
Adrijan	1
Ahmed	1
AimĂe	1
Ajan	1
Ajnur	1
Akif	1
Akin	1
Aksel	1
Aladin	1
Alan	1
Alban	1
Aleeke	1
Alejandro	1
AlejĂˇndro	1
Aleksandar	1
Aleksander	1
Alen	1
Alexandros	1
Alexey	1
Alexis	1
Alfons	1
Alfred	1
Alhareth	1
Alois	1
Alp	1
Alpata	1
Alpay	1
Alqasim	1
Altan	1
Altay	1
Amani	1
Amari	1
Amaru	1
Amos	1
Amr	1
Anastasios	1
Andrej	1
Andriy	1
AndrĂe	1
Andyl	1
Anel	1
Anselm	1
Anto	1
Antonijo	1
AntĂłnio	1
Anuk	1
