values	weights
MYROSLAV	1448
ALI	1446
WAWRZYNIEC	1434
HORST	1434
RAMAN	1429
JACENTY	1422
SVIATOSLAV	1419
VITALIY	1417
VALERY	1417
VADZIM	1402
VINCENT	1383
KASJAN	1375
SERHIY	1369
JONATHAN	1362
OREST	1338
ROCH	1331
BRIAN	1330
ARTSIOM	1328
NICHOLAS	1318
SERGHEI	1318
LIUBOMYR	1272
JAROMIR	1270
DIONIZY	1269
ANTONIO	1268
ALEXANDR	1265
RICHARD	1260
KOSMA	1237
WILLIAM	1218
ŁUCJAN	1216
IZYDOR	1213
ELIGIUSZ	1190
GERHARD	1177
ILYA	1159
LEONARDO	1147
RADOMIR	1146
EWALD	1146
MIHAIL	1139
LUCAS	1135
LUKAS	1130
DENNIS	1125
DAVYD	1099
ERIC	1088
MARKUS	1083
JAMES	1071
ANATOLI	1066
MIKITA	1064
ANDREW	1055
WIT	1044
AARON	1039
ROGER	1037
FRANK	1030
DAVIT	1025
DIEGO	1004
YAN	999
ERIK	991
MAXIM	987
ZBYSŁAW	985
KIRYL	985
AHMED	983
SERGIY	979
MARIO	979
DOMINIC	979
BAZYLI	972
FEDIR	962
ARTHUR	959
JORDAN	959
ALEXANDRU	957
PASCAL	930
MARKO	924
JUAN	911
CARLOS	900
JOSEPH	898
BRAYAN	890
LIAM	884
VIACHASLAU	880
AUGUST	873
TYMOFII	865
VASILI	857
MATTEO	856
LUCA	856
CYRYL	854
FRANCESCO	851
VADIM	847
VASILE	845
KLAUS	843
SERGEI	839
JOSE	830
ALLAN	827
ARSEN	826
ALESSANDRO	816
WOLFGANG	816
BONIFACY	815
IRAKLI	814
DMITRII	809
BRYAN	807
MEHMET	807
IVO	804
LUIS	803
VLADISLAV	800
NICOLAE	799
AMIR	796
NATHANIEL	794
BOGUSZ	793
ALEXANDRE	791
MATVII	791
ZBYSZEK	789
TYMUR	779
MANUEL	775
OMAR	771
EDGAR	768
HEORHII	755
RYAN	755
JOSHUA	748
MOHAMMAD	746
MUHAMMAD	740
JAKOB	735
DYMITR	730
NOAH	729
ANATOLIY	728
GNIEWOMIR	725
ROBERTO	722
IAN	718
DONAT	717
IEVGEN	713
STANISLAU	712
FELIX	708
KARIM	699
COLIN	699
MAXYMILIAN	696
SERGEY	696
SERGIU	694
LUBOMIR	691
HERMAN	685
MUSTAFA	684
HENRY	681
AURELIUSZ	678
GEORGE	678
KAI	673
HANS	669
KANSTANTSIN	666
DUMITRU	665
KURT	665
IAROSLAV	662
DIETER	656
CRISTIAN	655
ANDREA	653
JUSTIN	653
GHEORGHE	649
MATTHIAS	644
RICARDO	643
PHILIPP	639
PABLO	630
MOHAMMED	629
SAMIR	627
YAHOR	626
HERONIM	624
ALEKSEI	622
ZACHARY	619
BORIS	619
HENADZI	617
CONSTANTIN	607
MICHAL	606
BENON	606
TRISTAN	605
RUSTAM	600
LEVAN	600
EUZEBIUSZ	597
BARTEK	596
GIUSEPPE	595
ARMIN	594
ZBYSZKO	586
TIMUR	585
JORGE	583
ZACHARIASZ	578
LASHA	578
ANGELO	576
ALEJANDRO	574
IBRAHIM	571
KRISTIAN	569
ILIA	568
CHRYSTIAN	568
RONALD	565
MYRON	563
MIGUEL	563
TOBIAS	559
SERGIO	555
JOEL	555
DYLAN	554
RUBEN	554
TOM	553
VALENTIN	552
GIOVANNI	547
VALERIY	546
ALBERTO	545
ZAKHAR	545
MAMUKA	538
AXEL	537
IWAN	536
OSTAP	536
KASPIAN	536
MICHEL	528
FABIO	527
STEVEN	527
ANDREY	524
GUY	523
MARC	522
MARCUS	521
DAN	520
HARALD	518
CHRISTOPH	518
CASPER	514
EDUARDO	513
ZURAB	513
KONSTANTIN	511
FERNANDO	510
OLEKSIY	507
YAUHEN	505
KARL	504
JOSEF	504
PEDRO	502
NARCYZ	497
HILARY	497
DAVIDE	496
JEAN	495
LUKA	494
PATRIK	491
NICOLAI	488
JANUARY	487
REINHOLD	486
WALERY	482
MIKE	482
ZAZA	481
AHMET	480
TOMAS	480
RAJNOLD	480
FRANCISCO	476
GNIEWKO	470
JUSTYN	470
GEORG	468
LOUIS	466
HLIB	466
DANYIL	464
FEDERICO	464
TIMOTHY	464
DMITRY	462
IDZI	462
CHARLES	460
SEMEN	460
TYCJAN	459
GOCHA	458
AMIT	454
JOHANNES	454
ETHAN	453
EMMANUEL	452
NICO	452
VEACESLAV	452
PETR	450
VITALIE	450
JASON	445
STEPHEN	444
JAVIER	444
CEZARIUSZ	441
RAYAN	440
JURAND	439
MICHELE	437
SANTIAGO	436
HEINZ	432
ALEXEI	431
ARMEN	430
AHMAD	430
ALEKSANDRE	429
PHILIPPE	429
ZENOBIUSZ	428
OTTO	428
KRZESIMIR	426
ISMAIL	421
JUREK	421
JACK	420
PAOLO	418
LORENZO	417
HASAN	414
LEV	412
WIACZESŁAW	411
SERAFIN	408
FRANEK	407
DMITRI	405
PETRU	405
ENGELBERT	405
MAKARY	402
OKTAWIUSZ	401
BASTIAN	400
SYLWERIUSZ	400
WIEŃCZYSŁAW	399
NOEL	399
OMER	398
SAMBOR	396
EWARYST	396
RODION	395
ROBIN	395
JURIJ	394
KRYSTYN	392
APOLINARY	391
GWIDON	391
ALEXEY	391
DITER	391
KIRILL	388
MURAT	388
FELICJAN	386
DMYTRII	384
MAKAR	383
EVGENII	383
NIKOLAI	382
BEN	382
XAWERY	380
MARCELO	379
VALIANTSIN	377
MIROSLAV	375
BEKA	374
PHILLIP	373
IURIE	372
SEAN	370
WITALIS	370
RAJNARD	368
SVEN	367
CLAUDIO	366
NIKO	365
WITALIJ	365
REINHARD	364
ELIAS	363
IEVGENII	363
LEANID	362
BRANDON	362
ANDRÉ	360
GREGORY	359
MARTYN	358
NIKA	358
ABDUL	357
JOSÉ	356
LARS	355
TYBERIUSZ	355
RUFIN	354
SIMONE	351
LUDOMIR	348
GEORGIOS	345
MAXIME	342
VALERIU	342
NIKOLAY	340
NORMAN	340
WADIM	339
PIERRE	337
ALON	336
ROY	336
OSWALD	332
YUVAL	331
GELA	330
HIPOLIT	328
KAREN	327
DENIZ	326
RAPHAEL	326
KIRIL	326
WINCENT	325
HARRY	325
ARSENII	323
STEFANO	322
MARIUS	321
ARTSEM	319
ARKADII	319
JONAS	319
THEO	319
ANATOLIE	319
ARMAND	317
DAVITI	317
SYLWIUSZ	315
TORNIKE	315
IDO	315
JEREMY	314
WASYL	314
LEW	313
TOMER	313
OLEKSANDER	312
DOBROMIR	312
MATHIAS	311
WINICJUSZ	311
RICCARDO	309
YARASLAU	308
GENNADII	306
GABRIELE	304
MIKHEIL	303
EMRE	303
ANDRE	303
ANTOINE	302
ARIAN	302
CONRAD	300
DAMIR	300
DANIL	299
TIM	298
JÜRGEN	298
ALEKSANDAR	297
EYAL	296
PAATA	292
MATEO	290
SAMI	290
TOMÁŠ	289
TEO	288
NIKOLOZ	288
DARIO	287
HLEB	287
DANIELE	287
NATANAEL	286
DASTIN	286
MEDARD	285
RAUL	284
ABDULLAH	283
ABRAHAM	283
JENS	283
VYACHESLAV	282
VALERI	281
GILBERT	280
APOLONIUSZ	280
KOBA	279
BAZYL	279
TAL	278
RALF	278
GUSTAVO	278
YUSUF	277
WITOSŁAW	277
LEVANI	276
NOAM	276
VASIL	276
ALEK	276
YOAV	275
MAHMOUD	274
DEMIAN	273
GREGOR	273
NIKOLA	271
JAREMA	269
JOHANN	268
ZINOVII	268
MOSHE	267
FELIPE	267
ARMAN	265
ANDRES	265
VIOREL	261
RADEK	261
SIERGIEJ	261
AMBROŻY	261
RODRIGO	261
NESTOR	260
ELDAR	259
ITAY	257
MOHAMAD	256
KAJ	256
GAWEŁ	256
GNIEWOSZ	256
YEVGEN	256
YAKIV	256
MAGOMED	255
PAULO	254
OLEK	254
MARIN	254
UWE	253
ANTONY	252
JOAO	252
SHOTA	252
RENE	251
DIMITRI	251
GIA	250
FRANCIS	250
LUIGI	247
SANDRO	247
MALKHAZ	247
BERND	247
CHRISTOPHE	247
SALVATORE	246
JULIEN	245
GÜNTER	244
NIKOLAOS	243
NICOLA	242
MASSIMO	242
ARTIOM	241
LUKE	241
GEORGI	241
DOBIESŁAW	241
ENRICO	240
YOSYP	239
MARCOS	239
SOBIESŁAW	238
FRANZ	237
EGOR	237
GOTFRYD	237
BERNHARD	237
VAN	237
ERICH	237
MERT	236
ORI	236
RON	236
DIMITRIOS	236
BRAIAN	236
KYRYL	235
GORAN	235
PIETRO	234
ANDRIAN	234
SHALVA	234
CHRISTOS	233
ISRAEL	233
BADRI	233
TSIMAFEI	232
RADZISŁAW	232
MATIAS	232
DARIUS	231
RAINER	230
DOBROSŁAW	229
ANDREJ	229
ANGEL	229
DIRK	228
TEIMURAZ	228
MARAT	228
VASILII	228
ZVIAD	227
ZURABI	227
AVTANDIL	227
EUGEN	226
ISLAM	226
BURAK	226
KONSTANTINOS	225
EVGENY	225
CARLO	225
SŁAWEK	225
EMIR	225
RAMI	225
NOE	224
TELESFOR	224
HASSAN	224
CELESTYN	224
VINCENZO	224
ERHARD	223
MAURO	223
MATHIEU	222
HEINRICH	221
PASKAL	219
MODEST	219
BRAK DANYCH	219
ISAAC	218
ONUR	218
MUHAMMED	218
STANLEY	218
ALESSIO	218
IURI	217
JEFFREY	217
DMITRIJ	216
JOZEF	216
MIHAI	216
GLEB	216
NADAV	215
KAKHABER	215
WOJTEK	215
YOUSSEF	214
STANISLAW	214
NIR	212
GRIGORE	212
IOANNIS	210
MATTIA	210
VSEVOLOD	210
BOŻYDAR	210
JÖRG	209
MAIK	209
MARYAN	209
