values	weights
ŻURAWSKA	6645
GODLEWSKA	6634
BIENIEK	6624
AUGUSTYNIAK	6611
CZYŻ	6611
KOMOROWSKA	6595
SKRZYPCZAK	6498
GROCHOWSKA	6483
GRUSZKA	6482
GÓRKA	6454
KUŚ	6434
RÓŻAŃSKA	6425
PRZYBYŁA	6417
WINIARSKA	6406
SZCZĘSNA	6379
DROZD	6357
CYBULSKA	6349
KRAWIEC	6315
PTAK	6288
PANEK	6277
KULIK	6265
LEŚNIEWSKA	6264
KONOPKA	6242
KRZYŻANOWSKA	6208
MIKOŁAJCZAK	6184
GIL	6183
CICHOŃ	6179
SŁOWIK	6176
ZAREMBA	6151
CICHOCKA	6143
SZCZEPANIK	6130
SIWEK	6093
TOKARSKA	6093
MIELCZAREK	6071
ZARZYCKA	6045
GRACZYK	6021
SZYMCZYK	5996
STRZELECKA	5995
MŁYNARCZYK	5992
BARTKOWIAK	5979
KŁOS	5947
KACZYŃSKA	5923
BUCZEK	5921
MAĆKOWIAK	5917
STAŃCZYK	5906
BIERNAT	5882
SZCZYGIEŁ	5874
JANUS	5867
SZOSTAK	5864
NIEWIADOMSKA	5861
KOSTRZEWA	5854
GRZYB	5843
WĘGRZYN	5838
SIENKIEWICZ	5814
FILIPIAK	5813
SKOWRON	5813
JANIAK	5802
KUCHARCZYK	5773
GÓRNA	5759
KALETA	5757
JUREK	5731
RAKOWSKA	5727
BOGUSZ	5726
GAWRON	5726
GĄSIOR	5703
BAGIŃSKA	5684
KSIĄŻEK	5675
CIEŚLA	5674
KUBIK	5662
ANTCZAK	5644
BANASIAK	5636
RÓŻYCKA	5632
ŻEBROWSKA	5618
BARTCZAK	5615
GAWLIK	5589
TRZCIŃSKA	5575
KRÓLIKOWSKA	5559
KULA	5525
ZARĘBA	5517
HAJDUK	5490
MIKULSKA	5485
FRĄCZEK	5480
ROGALSKA	5466
GRZEGORCZYK	5450
RZEPKA	5442
PAŁKA	5429
DŁUGOSZ	5428
ROJEK	5415
ROGALA	5408
MALISZEWSKA	5400
MALEC	5385
GAWROŃSKA	5382
TROJANOWSKA	5374
DOBOSZ	5356
WITCZAK	5336
RADOMSKA	5332
TKACZYK	5284
RYBICKA	5271
STEC	5264
BOREK	5258
LACH	5256
MIKA	5238
KISIEL	5179
FRANKOWSKA	5178
BOGUCKA	5166
KACZOROWSKA	5150
WĄSIK	5133
ŚLUSARCZYK	5129
KARWOWSKA	5121
ZABOROWSKA	5106
GAŁĄZKA	5104
WIĘCKOWSKA	5084
GRZESIAK	5076
KMIECIK	5074
KWAŚNIEWSKA	5057
BIAŁAS	5037
KUBACKA	5000
DUDZIŃSKA	4981
WALKOWIAK	4974
PIETRAS	4973
FRĄCKOWIAK	4959
BOCHENEK	4950
LIPSKA	4949
JUSZCZAK	4931
SOKÓŁ	4924
JANAS	4923
NAWROT	4921
PAWELEC	4918
WOJTCZAK	4915
MROCZEK	4896
WÓJCICKA	4893
WNUK	4892
LASOTA	4890
ROSIAK	4886
SKRZYPEK	4870
ZYGMUNT	4860
BURZYŃSKA	4859
KOŁODZIEJSKA	4853
WROŃSKA	4834
JĘDRZEJCZYK	4828
SZAFRAŃSKA	4828
CZYŻEWSKA	4823
FIJAŁKOWSKA	4821
PIWOWARCZYK	4814
GRUSZCZYŃSKA	4792
ŁUKASIEWICZ	4791
PIÓRKOWSKA	4783
ŻMUDA	4769
ZAJĄCZKOWSKA	4768
BOROWIEC	4758
JURKIEWICZ	4754
KRYSIAK	4743
ŁAPIŃSKA	4740
DĄBEK	4726
MASŁOWSKA	4726
JAGODZIŃSKA	4724
PASTERNAK	4724
BUJAK	4711
MISIAK	4709
JAGIEŁŁO	4708
KRAKOWIAK	4708
LISIECKA	4705
JĘDRZEJCZAK	4701
PILARSKA	4671
GAWEŁ	4663
WILCZEK	4641
FLIS	4626
SOBIERAJ	4621
TWARDOWSKA	4619
GUTOWSKA	4604
KARAŚ	4597
BIELAWSKA	4587
ŁUKASZEWSKA	4584
SKIBIŃSKA	4583
DRZEWIECKA	4573
STRZELCZYK	4570
STELMACH	4564
KAŁUŻA	4562
KUBICA	4560
CYGAN	4556
ZIELONKA	4547
DĘBOWSKA	4546
SZCZEŚNIAK	4525
SKOCZYLAS	4520
TARNOWSKA	4514
SOŁTYS	4513
FALKOWSKA	4504
RACZYŃSKA	4483
JAKUBIAK	4473
BILSKA	4469
FILIPEK	4459
BOBER	4457
PAKUŁA	4455
CEBULA	4453
SZWED	4429
MIERZEJEWSKA	4413
GĄSIOROWSKA	4411
WASIAK	4400
BARTOSIK	4399
KĘDZIORA	4394
MAJCHER	4376
GÓRNIAK	4372
STANEK	4372
KRUPIŃSKA	4358
WIĘCEK	4357
GUZIK	4332
NOWACZYK	4326
URBAŃCZYK	4318
CISZEWSKA	4312
STOLARCZYK	4304
STASZEWSKA	4302
RUSIN	4298
GÓRAL	4285
JAŚKIEWICZ	4285
CZAPLA	4278
KOPCZYŃSKA	4277
DROZDOWSKA	4276
MATUSZAK	4272
WOLAK	4256
ZAGÓRSKA	4248
KULIG	4239
RUCIŃSKA	4227
ZWOLIŃSKA	4222
SŁAWIŃSKA	4208
SŁOWIŃSKA	4204
KACZMARSKA	4203
FLOREK	4197
SIEDLECKA	4195
DZIUBA	4194
KASZUBA	4193
CHOLEWA	4192
GOŁĄB	4192
KAŁUŻNA	4191
GRZYWACZ	4186
MODZELEWSKA	4186
MISZTAL	4181
PACZKOWSKA	4180
MILCZAREK	4163
PAWLIKOWSKA	4162
MOTYKA	4161
ANDRZEJCZAK	4159
DUBIEL	4152
PYTEL	4151
JEZIERSKA	4149
PARTYKA	4145
MICHAŁEK	4131
WOJTAS	4119
STACHURA	4117
JACKOWSKA	4111
PROKOP	4099
GWÓŹDŹ	4087
MALICKA	4082
SOCHACKA	4075
BIELAK	4067
KUCHTA	4067
BOŻEK	4065
OLCZAK	4053
SIERADZKA	4053
ŚWIERCZYŃSKA	4053
JURKOWSKA	4052
KĘPA	4047
SZYSZKA	4034
BIEŃKOWSKA	4029
GAŁKA	4027
ROSA	4026
KUC	4024
SZCZERBA	4021
JANKOWIAK	4020
JANUSZ	4020
PŁONKA	4010
SKALSKA	3997
IWAŃSKA	3990
MROCZKOWSKA	3983
KWIECIŃSKA	3978
CHOJNOWSKA	3977
KNAPIK	3967
WOŚ	3966
STĘPNIAK	3964
SITEK	3963
KOLASA	3958
DUDZIK	3950
PASZKOWSKA	3950
SKÓRA	3938
SZATKOWSKA	3933
BRODA	3931
KRUSZEWSKA	3930
WYSZYŃSKA	3895
SUSKA	3893
CHMURA	3887
LENART	3886
DEC	3880
MAJKA	3874
KOWALCZUK	3865
CZECHOWSKA	3863
FLORCZAK	3857
STANISŁAWSKA	3851
DOMINIAK	3850
